Bill No.,Bill Year,Short Title of Bill,Bill Category,Ministry,Act No.,Date of Introduction,Date of Passing in Rajya Sabha,Date of Passing in Lok Sabha,Date of Assented,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL for Bill Errata
IX,1969,"The Public Wakfs (Extension of Limitation) Amendment Bill, 1969",Ordinary Bill,NA,9 of 1969,25/2/1969,3/3/1969,22/3/1969,26/3/1969,Assented,NA,NA,NA
XXXIV,1968,"The Code of Civil Procedure (Amendment) Bill, 1968",Ordinary Bill,NA,NA,18/11/1968,17/11/1970,NA,NA,Lapsed,NA,NA,NA
XXXIII,1968,"The Advocates (Second Amendment) Bill, 1968",Ordinary Bill,NA,NA,31/8/1968,16/12/1968,NA,NA,Withdrawn,NA,NA,NA
XXVIII,1968,"The Indian Soldiers (Litigation) Amendment Bill, 1968",Ordinary Bill,DEFENCE,23 of 1970,26/8/1968,19/10/1969,19/5/1970,29/5/1970,Assented,NA,NA,NA
XXVI,1968,"The Indian Registration (Amendment) Bill, 1968",Ordinary Bill,NA,NA,8/5/1968,14/8/1968,NA,NA,Passed,NA,NA,NA
XXV,1968,"The Bihar State Legislature (Delegation of Powers) Bill, 1968",Ordinary Bill,HOME AFFAIRS,39 of 1968,5/8/1968,14/8/1968,28/8/1968,30/8/1968,Assented,NA,NA,NA
XXIX,1968,"The Delhi Shop and Establlishments (Amendment) Bill, 1969",Ordinary Bill,NA,33 of 1970,28/4/1969,4/8/1969,6/8/1970,29/8/1970,Assented,NA,NA,NA
XXIV,1968,"The Telegraph Wires (Unlawful Possession) Amendment Bill, 1968",Ordinary Bill,NA,NA,29/7/1968,26/11/1968,NA,NA,Lapsed,NA,NA,NA
XX,1968,"The Advocates (Amendment) Bill, 1968",Ordinary Bill,NA,33 of 1968,22/7/1968,29/7/1968,8/7/1968,16/8/1968,Assented,NA,NA,NA
XV,1968,"The University Grants Commission (Amendment) Bill, 1968",Ordinary Bill,NA,27 of 1970,28/3/1968,7/8/1968,15/5/1970,3/6/1970,Assented,NA,NA,NA
XLVIII,1968,"The Indian Medicine and Homoeopathy Central Council Bill, 1968",Ordinary Bill,HEALTH AND FAMILY WELFARE,48 of 1970,27/12/1968,5/8/1970,10/12/1970,21/12/1970,Assented,NA,NA,NA
XLVII,1968,"The Central Reserve Police Force (Aamendment) Bill, 1968",Ordinary Bill,HOME AFFAIRS,NA,27/12/1968,28/7/1969,NA,NA,Lapsed,NA,NA,NA
XLVI,1968,"The Public Employment (Requirement as to Residence) Amendment Bill, 1968",Ordinary Bill,HOME AFFAIRS,1 of 1969,23/12/1968,25/2/1969,17/3/1969,19/3/1969,Assented,NA,NA,NA
XLV,1968,"The Architects Bill, 1968",Ordinary Bill,NA,NA,10/12/1968,7/5/1970,3/12/1970,NA,Passed,NA,NA,NA
XLIV,1968,"The Merchant Shipping (Amendment) Bill, 1968",Ordinary Bill,NA,25 of 1970,12/10/1968,12/3/1969,5/8/1970,31/5/1970,Assented,NA,NA,NA
XIX,1968,"The Hire-Purchase Bill, 1972",Ordinary Bill,NA,26 of 1972,22/7/1968,3/4/1972,31/5/1972,8/6/1972,Assented,NA,NA,NA
XIV,1968,"The All India Services (Laying of Regulations before Parliament) Bill, 1968",Ordinary Bill,HOME AFFAIRS,NA,21/3/1968,25/11/1969,NA,NA,Passed,NA,NA,NA
XIII,1968,"The Uttar Pradesh State Legislature (Delegation of Powers) Bill, 1968",Ordinary Bill,HOME AFFAIRS,7 of 1968,11/3/1968,14/3/1968,25/3/1968,27/3/1968,Assented,NA,NA,NA
XI,1968,"The West Bengal State Legislatue (Delegation of Powers) Bill, 1968",Ordinary Bill,HOME AFFAIRS,6 of 1968,5/3/1968,13/3/1968,25/3/1968,25/3/1968,Assented,NA,NA,NA
VIII,1968,"The Armed Forces (Special Powers) Continuance Bill, 1968",Ordinary Bill,EXTERNAL AFFAIRS,10 of 1968,29/2/1968,3/4/1968,26/3/1968,27/3/1968,Assented,NA,NA,NA
VII,1968,"The Contempt of Courts Bill, 1968",Ordinary Bill,HOME AFFAIRS,70 of 1971,29/2/1968,22/11/1971,20/12/1971,24/12/1971,Assented,NA,NA,NA
VI,1968,"The Public Premises (Eviction of Unauthorised Occupants) Amendment Bill, 1968",Ordinary Bill,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,32 of 1968,5/3/1968,25/7/1968,7/8/1968,16/8/1968,Assented,NA,NA,NA
XXX,1967,"The Delhi and Ajmer Rent Control (Nasirabad Contonment Repeal) Bill, 1967",Ordinary Bill,DEFENCE,49 of 1968,23/12/1967,13/2/1968,21/11/1968,30/11/1968,Assented,NA,NA,NA
XXVIII,1967,"The Haryana State Legislature (Delegation of Powers) Bill, 1967",Ordinary Bill,HOME AFFAIRS,30 of 1967,12/12/1967,19/3/1967,23/3/1967,26/3/1967,Assented,NA,NA,NA
XXVII,1967,"The Rice-Milling Industry (Regulation) Amendment Bill, 1967",Ordinary Bill,NA,29 of 1968,18/12/1967,13/2/1968,29/7/1968,8/7/1968,Assented,NA,NA,NA
XXIX,1967,"The Press and Registration of Books (Amendment) Bill, 1967",Ordinary Bill,INFORMATION AND BROADCASTING,NA,23/12/1967,14/2/1968,1/8/1968,NA,Passed,NA,NA,NA
XXIII,1967,"The Registration of Birth and Deaths Bill, 1967",Ordinary Bill,HOME AFFAIRS,18 of 1969,18/12/1967,27/2/1968,5/7/1969,31/5/1969,Assented,NA,NA,NA
XXII,1967,"The Oaths Bill, 1967",Ordinary Bill,NA,44 of 1969,27/11/1967,14/2/1968,12/1/1969,26/12/1969,Assented,NA,NA,NA
XX,1967,"The Dock Workers (Regulation of Employment) Amendment Bill, 1967",Ordinary Bill,LABOUR,31 of 1970,20/11/1967,12/5/1967,8/10/1970,28/8/1970,Assented,NA,NA,NA
XV,1967,"The Monopoliies and Restructive Trade Practieces Bill, 1967",Ordinary Bill,NA,54 of 1969,18/8/1967,24/7/1969,18/12/1969,27/12/1969,Assented,NA,NA,NA
XIV,1967,"The Coal Bearing Areas (Acquisition and Development) Amendment Bill, 1967",Ordinary Bill,STEEL,23 of 1969,8/10/1967,12/6/1967,23/7/1969,8/11/1969,Assented,NA,NA,NA
XIII,1967,"The Industrial Disputes (Amendment) Bill, 1967",Ordinary Bill,NA,NA,3/8/1967,26/11/1968,NA,NA,Passed,NA,NA,NA
VIII,1967,"The Maternity Benefit (Amendment) Bill, 1967",Ordinary Bill,NA,NA,14/6/1967,12/5/1967,NA,NA,Passed,NA,NA,NA
VII,1967,"The Companies Tribunal (Abolition) Bill, 1967",Ordinary Bill,NA,17 of 1967,12/6/1967,15/6/1967,26/6/1967,27/6/1967,Assented,NA,NA,NA
V,1967,"The Passports Bill, 1967",Ordinary Bill,EXTERNAL AFFAIRS,5 of 1967,29/5/1967,8/6/1967,20/6/1967,24/6/1967,Assented,NA,NA,NA
IX,1967,"The Indian Official Secrets (Amendment) Bill, 1967",Ordinary Bill,HOME AFFAIRS,24 of 1967,23/6/1967,7/8/1967,12/8/1967,15/8/1967,Assented,NA,NA,NA
I,1967,"The Constitution (Twenty-first Amendment) Bill, 1967",Ordinary Bill,HOME AFFAIRS,1967 of 1967,20/3/1967,4/4/1967,4/7/1967,4/10/1967,Assented,NA,NA,NA
XXIV,1966,"The Constitution (Twenty-second Amendment) Bill, 1966",Ordinary Bill,HOME AFFAIRS,NA,21/11/1966,12/9/1966,NA,NA,Lapsed,NA,NA,NA
XXIII,1966,"The Post-Graduate Institute of Medical Education and Research, Chandigarh, Bill, 1966",Ordinary Bill,HEALTH AND FAMILY WELFARE,51 of 1966,10/11/1966,22/11/1966,5/12/1966,17/12/1966,Assented,NA,NA,NA
XXII,1966,"The Police Forces (Restriction of Rights) Bill, 1966",Ordinary Bill,HOME AFFAIRS,33 of 1966,7/11/1966,14/11/1966,30/11/1966,2/12/1966,Assented,NA,NA,NA
XVIII,1966,"The Industrial Disputes (Amendment) Bill, 1966",Ordinary Bill,NA,NA,6/9/1966,30/11/1967,NA,NA,Lapsed,NA,NA,NA
XVI,1966,"The Railway Property (Inlawful Possession) Bill, 1966",Ordinary Bill,RAILWAYS,29 of 1966,8/1/1966,17/8/1966,9/6/1966,16/9/1966,Assented,NA,NA,NA
XIV,1966,"The Central Industrial Security Force Bill, 1966",Ordinary Bill,HOME AFFAIRS,50 of 1968,8/2/1966,13/5/1968,19/11/1968,12/2/1968,Assented,NA,NA,NA
XIII,1966,"The Special Marriage (Amendment) Bill, 1966",Ordinary Bill,NA,29 of 1970,27/7/1966,25/7/1968,20/5/1970,12/8/1970,Assented,NA,NA,NA
VI,1966,"The University Grants Commission (Amendment) Bill, 1966",Ordinary Bill,NA,NA,4/7/1966,8/2/1966,NA,NA,Lapsed,NA,NA,NA
V,1966,"The Telegraph Wires (Unlawful Possession) Amendment Bill, 1966",Ordinary Bill,PARLIAMENTARY AFFAIRS,NA,7/4/1966,27/7/1966,NA,NA,Lapsed,NA,NA,NA
XXI,1965,"The Beedi and Cigar Workers (Conditions of Employment) Bill, 1965",Ordinary Bill,LABOUR,32 of 1966,12/11/1965,16/2/1966,11/1/1966,30/11/1966,Assented,NA,NA,NA
XVIII,1965,"The Maternity Benefit (Amendment) Bill, 1965",Ordinary Bill,LABOUR,NA,12/11/1965,27/7/1966,NA,NA,Lapsed,NA,NA,NA
XVII,1965,"The Merchant Shipping (Amendment) Bill, 1965",Ordinary Bill,NA,21 of 1966,9/12/1965,7/4/1966,27/7/1966,31/8/1966,Assented,NA,NA,NA
XVI,1965,"The Delhi Shops and Establishments (Amendment) Bill, 1965",Ordinary Bill,NA,NA,12/7/1965,4/5/1966,NA,NA,Lapsed,NA,NA,NA
XV,1965,"The Wakf (Amendment) Bill, 1965",Ordinary Bill,NA,NA,12/7/1965,8/4/1966,NA,NA,Lapsed,NA,NA,NA
XIX,1965,"The Motor Vehicles (Amendment) Bill, 1965",Ordinary Bill,NA,56 of 1969,12/11/1965,19/12/1968,27/11/1969,29/12/1969,Assented,NA,NA,NA
XIV,1965,"The Advocates (Amendment) Bill, 1965",Ordinary Bill,NA,NA,24/9/1965,3/11/1965,NA,NA,Withdrawn,NA,NA,NA
XIII,1965,"The Goa, Daman and Diu (Extension of the Code of Civil Procedure and the Arbitration Act) Bill, 1965",Ordinary Bill,NA,30 of 1965,16/8/1965,13/9/1965,22/9/1965,25/9/1965,Assented,NA,NA,NA
IX,1965,"The Industries (Development and Regulation) Amendment Bill, 1965",Ordinary Bill,NA,6 of 1965,3/2/1965,23/3/1965,26/3/1965,29/3/1965,Assented,NA,NA,NA
XXXIV,1964,"The Employees` Provident Funds (Amendment) Bill, 1964",Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,22 of 1965,24/12/1964,18/2/1965,20/9/1965,25/9/1965,Assented,NA,NA,NA
XXXIII,1964,"The Jawaharlal Nehru University Bill, 1964",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,53 of 1966,24/12/1964,6/12/1965,16/11/1966,22/12/1966,Assented,NA,NA,NA
XXXII,1964,"The Industrial disputes (Second Amendment) Bill, 1964",Ordinary Bill,NA,35 of 1965,24/12/1964,17/8/1965,11/11/1965,19/11/1965,Assented,NA,NA,NA
XXX,1964,"The Insecticides Bill, 1964",Ordinary Bill,HEALTH AND FAMILY WELFARE,46 of 1968,16/12/1964,28/11/1967,9/5/1968,2/9/1968,Assented,NA,NA,NA
XXVII,1964,"The Indian Trade Unions (Amendment) Bill, 1964",Ordinary Bill,LABOUR,38 of 1964,18/11/1964,26/11/1964,12/7/1964,12/10/1964,Assented,NA,NA,NA
XXVI,1964,"The Official Trustees (Amendment) Bill, 1964",Ordinary Bill,NA,48 of 1964,17/11/1964,30/11/1964,12/12/1964,25/12/1964,Assented,NA,NA,NA
XXIX,1964,"The Press and Registration of Books (Amendment) Bill, 1964",Ordinary Bill,INFORMATION AND BROADCASTING,16 of 1965,3/12/1964,18/2/1965,14/9/1965,22/9/1965,Assented,NA,NA,NA
XV,1964,"The Babaras Hindu University (Amendment) Bill, 1964",Ordinary Bill,NA,52 of 1966,1/10/1964,16/11/1965,16/11/1966,22/12/1966,Assented,NA,NA,NA
XIV,1964,"The Registration of Births and Deaths Bill, 1964",Ordinary Bill,HOME AFFAIRS,NA,10/1/1964,17/11/1964,NA,NA,Lapsed,NA,NA,NA
XIII,1964,"The Repealing and Amending Bill, 1964",Ordinary Bill,NA,52 of 1964,21/9/1964,25/11/1964,21/12/1964,29/12/1964,Assented,NA,NA,NA
XII,1964,"The Seeds Bill, 1964",Ordinary Bill,NA,54 of 1966,9/7/1964,18/11/1964,12/5/1966,29/12/1966,Assented,NA,NA,NA
XXXVIII,1963,"The Press Council Bill, 1963",Ordinary Bill,INFORMATION AND BROADCASTING,34 of 1965,26/11/1963,26/8/1965,3/11/1965,12/11/1965,Assented,NA,NA,NA
XXXIX,1963,"The Industrial Disputes (Amendment) Bill, 1963",Ordinary Bill,LABOUR,36 of 1964,12/2/1963,9/8/1964,17/11/1964,12/9/1964,Assented,NA,NA,NA
XXXIV,1963,"The Durgah Khwaja Saheb (Amendment) Bill, 1963",Ordinary Bill,HOME AFFAIRS,20 of 1964,18/11/1963,26/11/1963,5/6/1964,16/5/1964,Assented,NA,NA,NA
XXXII,1963,"The Dakshina Bharat Hindi Prachar Sabha Bill, 1963",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,14 of 1964,22/8/1963,29/8/1963,30/4/1964,5/12/1964,Assented,NA,NA,NA
XXXI,1963,"The Code of Civil Procedure (Amendment) Bill, 1963",Ordinary Bill,NA,26 of 1963,13/8/1963,22/8/1963,29/8/1963,9/4/1963,Assented,NA,NA,NA
XV,1963,"The Drugs and Magic Remadies Cougectivable Advertisement Amendment Bill, 1963",Ordinary Bill,NA,42 of 1963,10/5/1963,10/9/1963,29/11/1963,7/12/1963,Assented,NA,NA,NA
XL,1963,"The Indian Railways (Amendment) Bill, 1963",Ordinary Bill,RAILWAYS,12 of 1964,9/12/1963,21/4/1964,5/5/1964,5/12/1964,Assented,NA,NA,NA
XIV,1963,"The Foreign Marriage Bill, 1963",Ordinary Bill,NA,33 of 1969,10/5/1963,29/7/1969,30/8/1969,31/8/1969,Assented,NA,NA,NA
XIII,1963,"The Drugs and Cosmetics (Amendment) Bill, 1963",Ordinary Bill,NA,13 of 1964,5/10/1963,21/4/1964,5/5/1964,5/12/1964,Assented,NA,NA,NA
XII,1963,"The Employees Provident Funds (Amendment Bill, 1963",Ordinary Bill,NA,28 of 1963,5/4/1963,21/8/1963,29/8/1963,9/7/1963,Assented,NA,NA,NA
V,1963,"The Industrial Employment (Standing Order) Amendment Bill, 1963",Ordinary Bill,NA,39 of 1963,18/3/1963,21/8/1963,2/12/1963,2/12/1963,Assented,NA,NA,NA
III,1963,"The Iron Ore Mines Labour Welfare Cess (Amendment) Bill, 1963",Ordinary Bill,LABOUR,24 of 1963,3/5/1963,22/4/1963,17/8/1963,24/8/1963,Assented,NA,NA,NA
II,1963,"The Indian Emigration (Amendment) Bill, 1963",Ordinary Bill,EXTERNAL AFFAIRS,23 of 1963,25/1/1963,12/3/1963,16/8/1963,24/8/1963,Assented,NA,NA,NA
I,1963,"The Delhi Rent Control (Amendment) Bill, 1963",Ordinary Bill,HOME AFFAIRS,4 of 1963,21/1/1963,22/1/1963,19/2/1963,3/8/1963,Assented,NA,NA,NA
XX,1962,"The Hindi Sahitiya Sammelan (Amendment) Bill, 1962",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,1 of 1963,22/11/1962,27/11/1962,21/1/1963,25/1/1963,Assented,NA,NA,NA
XIX,1962,"The East Punjab Ayurvedic and Unani Practicinar (Delhi Amendment) Bill, 1962",Ordinary Bill,HEALTH AND FAMILY WELFARE,49 of 1963,11/12/1962,12/4/1962,22/11/1963,14/12/1963,Assented,NA,NA,NA
XIV,1962,"The Employees Provident Funds (Amendment) Bill, 1962",Ordinary Bill,NA,48 of 1962,22/8/1962,15/11/1962,28/11/1962,12/5/1962,Assented,NA,NA,NA
XIII,1962,"The Indian Sales of Goods (Amendment) Bill, 1962",Ordinary Bill,NA,33 of 1963,21/8/1962,14/11/1962,29/8/1963,22/9/1963,Assented,NA,NA,NA
XII,1962,"The Special Marriage (Amendment) Bill, 1962",Ordinary Bill,NA,32 of 1963,8/7/1962,21/1/1963,28/8/1963,22/9/1963,Assented,NA,NA,NA
XI,1962,"The Limilation Bill, 1962",Ordinary Bill,NA,36 of 1963,19/6/1962,21/1/1963,16/8/1963,10/5/1963,Assented,NA,NA,NA
II,1962,"The Hindu Sahitya Sammalan Bill, 1962",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,13 of 1962,3/12/1962,19/3/1962,30/3/1962,30/3/1962,Assented,NA,NA,NA
XXII,1961,"The Drugs (Amendment) Bill, 1961",Ordinary Bill,HEALTH AND FAMILY WELFARE,21 of 1962,12/4/1961,19/4/1962,21/6/1962,27/6/1962,Assented,NA,NA,NA
XXI,1961,"The Air Corporation (Amendment) Bill, 1961",Ordinary Bill,NA,17 of 1962,28/11/1961,30/11/1961,29/3/1962,30/3/1962,Assented,NA,NA,NA
XX,1961,"The Indian Succession (Amendment) Bill, 1961",Ordinary Bill,NA,16 of 1962,27/11/1961,30/11/1961,28/3/1962,30/3/1962,Assented,NA,NA,NA
XVIII,1961,"The Indian Standards Institution (Certification Marks) Amendment Bill, 1961",Ordinary Bill,COMMERCE AND INDUSTRY,44 of 1961,5/1/1961,14/8/1961,23/11/1961,30/11/1961,Assented,NA,NA,NA
XVII,1961,"The Cotton Textile Workers (Central Wage Board Recommendations) Bill, 1961",Ordinary Bill,LABOUR,NA,1/5/1961,NA,NA,NA,Withdrawn,NA,NA,NA
XV,1961,"The Foreign Awards (Recognition and Enforcement) Bill, 1961",Ordinary Bill,COMMERCE AND INDUSTRY,45 of 1961,19/4/1961,14/8/1961,23/11/1961,30/11/1961,Assented,NA,NA,NA
XIV,1961,"The Orissa State Legislature (Delegation of Powers) Bill, 1961",Ordinary Bill,HOME AFFAIRS,13 of 1961,29/3/1961,30/3/1961,25/4/1961,29/4/1961,Assented,NA,NA,NA
XIII,1961,"The Minimum Wages (Amendment) Bill, 1961",Ordinary Bill,LABOUR,31 of 1961,3/9/1961,30/3/1961,8/10/1961,28/8/1961,Assented,NA,NA,NA
XXVIII,1960,"The Salar Jung Museum Bill, 1960",Ordinary Bill,SCIENCE AND TECHNOLOGY,26 of 1961,12/5/1960,15/12/1960,4/4/1961,14/4/1961,Assented,NA,NA,NA
XXVI,1960,"The Repealing and Amending Bill, 1960",Ordinary Bill,NA,58 of 1960,28/11/1960,1/12/1960,23/12/1960,26/12/1960,Assented,NA,NA,NA
XXIX,1960,"The Delhi Shops and Establishments (Amendment) Bill, 1960",Ordinary Bill,LABOUR,21 of 1961,19/12/1960,27/2/1961,3/5/1961,14/5/1961,Assented,NA,NA,NA
XXIV,1960,"The Indian Aircraft (Amendment) Bill, 1960",Ordinary Bill,NA,44 of 1960,25/8/1960,1/9/1960,14/11/1960,26/11/1960,Assented,NA,NA,NA
XXIII,1960,"The British Statutes (Application to India) Repeal Bill, 1960",Ordinary Bill,NA,57 of 1960,18/8/1960,28/11/1960,23/12/1960,26/12/1960,Assented,NA,NA,NA
XXI,1960,"The Indian Museum (Amendment) Bill, 1960",Ordinary Bill,SCIENCE AND TECHNOLOGY,45 of 1960,8/10/1960,30/8/1960,15/11/1960,30/11/1960,Assented,NA,NA,NA
X,1960,"The Drugs (Amendment) Bill, 1960",Ordinary Bill,NA,35 of 1960,28/4/1960,8/10/1960,9/6/1960,15/9/1960,Assented,NA,NA,NA
VIII,1960,"The Hindu Marriages (Validation of Proceedings) Bill, 1960",Ordinary Bill,NA,19 of 1960,13/4/1960,19/4/1960,28/4/1960,5/6/1960,Assented,NA,NA,NA
VII,1960,"The Evacuee Interest (Separation) Amendment Bill, 1960",Ordinary Bill,RURAL DEVELOPMENT,27 of 1960,13/4/1960,8/9/1960,26/8/1960,9/3/1960,Assented,NA,NA,NA
VI,1960,"The Delhi Primary Education Bill, 1960",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,39 of 1960,3/10/1960,24/8/1960,9/9/1960,20/9/1960,Assented,NA,NA,NA
V,1960,"The Supreme Court (Number of Judges) Amendment Bill, 1960",Ordinary Bill,HOME AFFAIRS,17 of 1960,10/3/1960,11/4/1960,27/4/1960,6/5/1960,Assented,NA,NA,NA
