Bill No.,Bill Year,Short Title of Bill,Bill Category,Ministry,Act No.,Date of Introduction,Date of Passing in Rajya Sabha,Date of Passing in Lok Sabha,Date of Assented,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL for Bill Errata
IX,1960,"The Agricultural Porduce (Grading and Marking) Amandment Bill,1960",Ordinary Bill,AGRICULTURE,25 of 1960,19/4/1960,8/9/1960,20/8/1960,27/8/1960,Assented,NA,NA,NA
IV,1960,"The Press and Registration of Books (Amendment) Bill, 1960",Ordinary Bill,INFORMATION AND BROADCASTING,26 of 1960,3/10/1960,19/8/1960,19/8/1960,29/8/1960,Assented,NA,NA,NA
III,1960,"The Indian Boilers (Amendment) Bill, 1960",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,18 of 1960,3/10/1960,4/12/1960,27/4/1960,5/6/1960,Assented,NA,NA,NA
I,1960,"The Indian Sale of Goods (Amendment) Bill, 1960",Ordinary Bill,NA,NA,15/2/1960,29/2/1960,NA,NA,Lapsed,NA,NA,NA
XXIII,1959,"The Children Bill, 1959",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,60 of 1960,22/12/1959,8/12/1960,23/12/1960,26/12/1960,Assented,NA,NA,NA
XXII,1959,"The Cotton Transport (Amendment) Bill, 1959",Ordinary Bill,COMMERCE AND INDUSTRY,22 of 1960,21/12/1959,2/9/1960,8/5/1960,23/8/1960,Assented,NA,NA,NA
XXI,1959,"The Imports and Exports (Control) Amendment Bill, 1959",Ordinary Bill,COMMERCE AND INDUSTRY,4 of 1960,21/12/1959,2/9/1960,24/2/1960,3/7/1960,Assented,NA,NA,NA
XX,1959,"The Married Womens Property (Extension) Bill, 1959",Ordinary Bill,NA,61 of 1959,23/11/1959,30/11/1959,18/12/1959,24/12/1959,Assented,NA,NA,NA
XVII,1959,"The Criminal Law (Amendment) Bill, 1959",Ordinary Bill,NA,41 of 1959,31/8/1959,2/9/1959,10/9/1959,12/9/1959,Assented,NA,NA,NA
XVI,1959,"The Miscellaneous Personal Laws (Extension) Bill, 1959",Ordinary Bill,NA,48 of 1959,31/8/1959,7/9/1959,17/11/1959,12/4/1959,Assented,NA,NA,NA
X,1959,"The Lady Hardinge Medical College and Hospital Bill, 1959",Ordinary Bill,NA,NA,7/5/1959,NA,NA,NA,Withdrawn,NA,NA,NA
VII,1959,"The Prevention of Cruelty to Animals Bill, 1959",Ordinary Bill,FOOD PROCESSING INDUSTRIES,59 of 1960,13/3/1959,3/2/1960,13/12/1960,26/12/1960,Assented,NA,NA,NA
VI,1959,"The Census (Amendment) Bill, 1959",Ordinary Bill,HOME AFFAIRS,22 of 1959,13/3/1959,20/4/1959,7/5/1959,19/5/1959,Assented,NA,NA,NA
VIII,1958,"The Chartered Accountants (Amendment) Bill, 1958",Ordinary Bill,COMMERCE AND INDUSTRY,15 of 1959,27/9/1958,9/12/1958,13/3/1959,6/5/1959,Assented,NA,NA,NA
VII,1958,"The Cost and Works Accountants Bill, 1958",Ordinary Bill,COMMERCE AND INDUSTRY,23 of 1959,24/9/1958,19/2/1959,7/5/1959,19/5/1959,Assented,NA,NA,NA
VI,1958,"The Workmen`s Compensation (Amendment) Bill, 1958",Ordinary Bill,NA,8 of 1959,24/9/1958,27/11/1958,23/2/1959,20/3/1959,Assented,NA,NA,NA
II,1958,"The Public Premises (Evention of Unauthorised Occupants) Bill, 1958",Ordinary Bill,NA,32 of 1958,10/3/1958,21/8/1958,9/9/1958,16/9/1958,Assented,NA,NA,NA
XIII,1957,"The Damodar Valley Corporation (Amendment) Bill, 1957",Ordinary Bill,NA,59 of 1957,11/12/1957,17/12/1957,21/12/1957,24/12/1957,Assented,NA,NA,NA
XII,1957,"The Ancient Monuments and Archaeological Sites and Remains Bill, 1957",Ordinary Bill,NA,24 of 1958,16/12/1957,17/2/1958,8/12/1958,28/8/1958,Assented,NA,NA,NA
XI,1957,"The Indian Post Office (Amendment) Bill, 1957",Ordinary Bill,NA,7 of 1958,12/9/1957,2/11/1958,3/10/1958,18/3/1958,Assented,NA,NA,NA
X,1957,"The Indian Reserve Forces (Amendment) Bill, 1957",Ordinary Bill,DEFENCE,3 of 1958,25/11/1957,5/12/1957,18/2/1958,8/3/1958,Assented,NA,NA,NA
VII,1957,"The Contonments (Extension of Rent Control Laws) Bill, 1957",Ordinary Bill,DEFENCE,46 of 1957,14/9/1957,19/11/1957,2/12/1957,18/12/1957,Assented,NA,NA,NA
VI,1957,"The Indian Nursing Council (Amendment) Bill, 1957",Ordinary Bill,NA,45 of 1957,14/9/1957,19/11/1957,29/11/1957,14/12/1957,Assented,NA,NA,NA
V,1957,"The Industrial Disputes (Banking Companies) Decision Amendment Bill, 1957",Ordinary Bill,NA,40 of 1957,9/12/1957,14/9/1957,11/11/1957,17/11/1957,Assented,NA,NA,NA
IX,1957,"The Indian Telegraph (Amendment) Bill, 1957",Ordinary Bill,NA,47 of 1957,18/11/1957,28/11/1957,12/5/1957,18/12/1957,Assented,NA,NA,NA
IV,1957,"The Forward Contracts (Regulation) Amendment Bill, 1957",Ordinary Bill,NA,32 of 1957,9/6/1957,9/10/1957,9/12/1957,17/9/1957,Assented,NA,NA,NA
II,1957,"The Prevention of Corruption (Amendment) Bill, 1957",Ordinary Bill,HOME AFFAIRS,7 of 1957,18/3/1957,21/3/1957,28/3/1957,29/3/1957,Assented,NA,NA,NA
XXVIII,1956,"The Repealing and Amending Bill, 1956",Ordinary Bill,NA,36 of 1957,21/12/1956,12/8/1957,10/9/1957,17/9/1957,Assented,NA,NA,NA
XXVII,1956,"The Slum Areas (Improvement and Clearance) Bill, 1956",Ordinary Bill,HOME AFFAIRS,96 of 1956,15/12/1956,18/12/1956,22/12/1956,29/12/1956,Assented,NA,NA,NA
XXVI,1956,"The Delhi Tenants (Temporary Protection) Bill, 1956",Ordinary Bill,NA,97 of 1956,15/12/1956,19/12/1956,22/12/1956,29/12/1956,Assented,NA,NA,NA
XXV,1956,"The Delhi (Control of Building Operators) Continuance Bill, 1956",Ordinary Bill,NA,98 of 1958,15/12/1956,18/12/1956,22/12/1956,29/12/1956,Assented,NA,NA,NA
XXIX,1956,"The Indian Succession (Amendment) Bill, 1956",Ordinary Bill,NA,34 of 1957,21/12/1956,8/12/1957,9/10/1957,17/9/1957,Assented,NA,NA,NA
XXIV,1956,"The Cinematograph Bill, 1956",Ordinary Bill,INFORMATION AND BROADCASTING,NA,10/12/1956,NA,NA,NA,Withdrawn,NA,NA,NA
XXI,1956,"The Minimum Wages (Amendment) Bill, 1956",Ordinary Bill,LABOUR,30 of 1957,26/11/1956,13/8/1957,9/9/1957,17/9/1957,Assented,NA,NA,NA
XVIII,1956,"The Delevery of Books (Public Libraries) Amendment Bill, 1956",Ordinary Bill,NA,99 of 1956,13/9/1956,19/11/1956,22/12/1956,29/12/1956,Assented,NA,NA,NA
XVII,1956,"The Hindu Adoptions and Maintenance Bill, 1956",Ordinary Bill,NA,78 of 1956,23/8/1956,29/11/1956,14/12/1956,21/12/1956,Assented,NA,NA,NA
XIII,1956,"The Newspaper (Price and Page) Bill, 1956",Ordinary Bill,INFORMATION AND BROADCASTING,45 of 1956,31/7/1956,14/8/1956,30/8/1956,9/7/1956,Assented,NA,NA,NA
XII,1956,"The Press Council Bill, 1956",Ordinary Bill,INFORMATION AND BROADCASTING,NA,31/7/1956,11/12/1956,NA,NA,Lapsed,NA,NA,NA
X,1956,"The Railway Protection Force Bill, 1956",Ordinary Bill,NA,23 of 1957,27/11/1956,29/5/1957,20/8/1957,30/8/1957,Assented,NA,NA,NA
VIII,1956,"The Indian Medical Council Bill, 1956",Ordinary Bill,NA,102 of 1956,17/5/1956,2/8/1956,10/12/1956,30/12/1956,Assented,NA,NA,NA
VII,1956,"The Industrial Disputes (Amendment) Bill, 1956",Ordinary Bill,LABOUR,41 of 1956,23/4/1956,10/5/1956,20/8/1956,4/9/1956,Assented,NA,NA,NA
XXIII,1955,"The Indian Lac Cess (Amendment) Bill, 1955",Ordinary Bill,NA,35 of 1956,22/12/1955,14/2/1956,14/8/1956,28/8/1956,Assented,NA,NA,NA
XXII,1955,"The Indian Cotton Cess (Amendment) Bill, 1955",Ordinary Bill,NA,50 of 1965,14/12/1955,17/2/1956,20/8/1956,14/9/1956,Assented,NA,NA,NA
XVI,1955,"The Multi-Unit Co-operation Society (Amendment) Bill, 1955",Ordinary Bill,NA,34 of 1956,23/11/1955,16/2/1956,21/8/1956,28/8/1956,Assented,NA,NA,NA
XV,1955,"The Copyright Bill, 1955",Ordinary Bill,NA,14 of 1957,10/1/1955,15/5/1957,27/5/1957,6/4/1957,Assented,NA,NA,NA
XIV,1955,"The Bar Councils (Validation of State Laws) Bill, 1955",Ordinary Bill,NA,4 of 1956,30/9/1955,8/12/1955,18/2/1956,13/3/1956,Assented,NA,NA,NA
XIII,1955,"The Working Journlists (Conditions of Service) and Miscellaneous Provision Bill, 1955",Ordinary Bill,INFORMATION AND BROADCASTING,45 of 1955,28/9/1955,1/12/1955,13/12/1955,20/12/1955,Assented,NA,NA,NA
VIII,1955,"The Abolition of Whipping Bill, 1955",Ordinary Bill,HOME AFFAIRS,44 of 1955,4/5/1955,25/8/1955,30/11/1955,19/12/1955,Assented,NA,NA,NA
VII,1955,"The River Boards Bill, 1955",Ordinary Bill,POWER,49 of 1956,3/5/1955,9/12/1955,11/8/1956,9/12/1956,Assented,NA,NA,NA
VI,1955,"The Inter-State Water Disputes Bill, 1955",Ordinary Bill,POWER,33 of 1956,5/3/1955,12/12/1955,8/11/1956,28/8/1956,Assented,NA,NA,NA
V,1955,"The Negotiable Instruments (Amendment) Bill, 1955",Ordinary Bill,NA,37 of 1955,14/4/1955,18/8/1955,27/9/1955,15/10/1955,Assented,NA,NA,NA
IV,1955,"The Finance Commission (Miscellaneous Provisions) Amendment Bill, 1955",Ordinary Bill,NA,13 of 1955,23/3/1955,29/3/1955,16/4/1955,22/4/1955,Assented,NA,NA,NA
III,1955,"The Working Journalists (Industrial Disputes) Bill, 1955",Ordinary Bill,INFORMATION AND BROADCASTING,1 of 1955,24/2/1955,2/3/1955,10/3/1955,12/3/1955,Assented,NA,NA,NA
XXV,1954,"The Imports and Exports (Control) Amendment Bill, 1954",Ordinary Bill,COMMERCE AND INDUSTRY,2 of 1955,24/12/1954,25/2/1955,3/5/1955,16/3/1955,Assented,NA,NA,NA
XXIV,1954,"The Insurance (Amendment) Bill, 1954",Ordinary Bill,NA,18 of 1955,22/12/1954,25/2/1955,26/4/1955,3/5/1955,Assented,NA,NA,NA
XXIII,1954,"The Indian Railways (Third Amendment) Bill, 1954",Ordinary Bill,RAILWAYS,17 of 1955,12/11/1954,25/2/1955,26/4/1955,3/5/1955,Assented,NA,NA,NA
XVIII,1954,"The Tea (Amendment) Bill, 1954",Ordinary Bill,COMMERCE AND INDUSTRY,52 of 1954,27/9/1954,30/11/1954,18/12/1954,25/12/1954,Assented,NA,NA,NA
XVII,1954,"The Manipur State Hill Peoples (Administration) Regulation (Amendment) Bill, 1954",Ordinary Bill,HOME AFFAIRS,NA,8/9/1954,21/9/1954,NA,NA,Withdrawn,NA,NA,NA
XV,1954,"The Railway Stores (Unlowful Possession) Bill, 1954",Ordinary Bill,RAILWAYS,51 of 1955,23/8/1954,31/8/1954,12/1/1955,24/12/1955,Assented,NA,NA,NA
XIV,1954,"The Drugs (Amendment) Bill, 1954",Ordinary Bill,NA,11 of 1955,23/8/1954,31/8/1954,28/2/1955,15/4/1955,Assented,NA,NA,NA
XIII,1954,"The Hindu Succession Bill, 1954",Ordinary Bill,NA,30 of 1956,22/12/1954,30/11/1955,8/5/1956,17/6/1956,Assented,NA,NA,NA
XII,1954,"The Dentists (Amendment) Bill, 1954",Ordinary Bill,HEALTH AND FAMILY WELFARE,12 of 1955,13/5/1954,31/8/1954,28/2/1955,15/4/1955,Assented,NA,NA,NA
XI,1954,"The Industrial Disputes (Amendment) Bill, 1954",Ordinary Bill,LABOUR,48 of 1954,5/6/1954,15/5/1954,14/12/1954,23/12/1954,Assented,NA,NA,NA
X,1954,"The Prevention of Disqualification (Parliament and Part C States Legislatures) Amendment Bill, 1954",Ordinary Bill,NA,194 of 1954,26/4/1954,27/4/1954,28/4/1954,29/4/1954,Assented,NA,NA,NA
VII,1954,"The Himachal Pradesh and Bilaspur (New State) Bill, 1954",Ordinary Bill,HOME AFFAIRS,32 of 1954,15/3/1954,19/4/1954,8/5/1954,28/5/1954,Assented,NA,NA,NA
VI,1954,"The Shillong (Rifle Range and Umlong) Contonments Asimilation of Laws Bill, 1954",Ordinary Bill,HOME AFFAIRS,31 of 1954,3/10/1954,19/4/1954,5/8/1954,28/5/1954,Assented,NA,NA,NA
V,1954,"The Air Corporations (Amendment) Bill, 1954",Ordinary Bill,NA,10 of 1954,23/2/1954,1/3/1954,13/3/1954,18/3/1954,Assented,NA,NA,NA
IV,1954,"The Abducted Persons (Recovery and Restoration) Amendment Bill, 1954",Ordinary Bill,EXTERNAL AFFAIRS,4 of 1954,16/2/1954,19/2/1954,25/2/1954,27/2/1954,Assented,NA,NA,NA
III,1954,"The Control of Shipping (Amendment) Bill, 1954",Ordinary Bill,RAILWAYS,9 of 1954,16/2/1954,22/2/1954,13/3/1954,18/3/1954,Assented,NA,NA,NA
II,1954,"The State Acquisition of Lands for Union Purpues (Validation) Bill, 1954",Ordinary Bill,NA,23 of 1954,15/2/1954,9/3/1954,26/4/1954,30/4/1954,Assented,NA,NA,NA
I,1954,"The Lushai Hills District (Change of Name) Bill, 1954",Ordinary Bill,HOME AFFAIRS,18 of 1954,15/2/1954,22/2/1954,24/4/1954,29/4/1954,Assented,NA,NA,NA
XXXI,1953,"The Dentists (Amendment) Bill, 1953",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,22/12/1953,NA,NA,NA,Withdrawn,NA,NA,NA
XXX,1953,"The Prevention of Disqualification (Parliament and Part C State Legislatures) Bill, 1953",Ordinary Bill,NA,1 of 1954,12/10/1953,16/12/1953,24/12/1953,1/1/1954,Assented,NA,NA,NA
XXVIII,1953,"The Absorbed Areas (Laws) Bill, 1953",Ordinary Bill,HOME AFFAIRS,20 of 1954,12/7/1953,22/2/1954,26/4/1954,30/4/1954,Assented,NA,NA,NA
XXVII,1953,"The Drugs and Magic Remedies (Objectionable Advertisements) Bill, 1953",Ordinary Bill,HEALTH AND FAMILY WELFARE,21 of 1954,2/12/1953,16/2/1954,26/4/1954,30/4/1954,Assented,NA,NA,NA
XXIX,1953,"The Indian Railways (Second Amendment) Bill, 1953",Ordinary Bill,RAILWAYS,22 of 1954,12/10/1953,22/2/1954,26/4/1954,30/4/1954,Assented,NA,NA,NA
XXIII,1953,"The Children Bill, 1953",Ordinary Bill,NA,NA,14/9/1953,28/4/1954,NA,NA,Passed,NA,NA,NA
XXII,1953,"The Employees Provident Funds (Amendment) Bill, 1953",Ordinary Bill,LABOUR,37 of 1953,14/9/1953,24/11/1953,12/1/1953,12/12/1953,Assented,NA,NA,NA
XXI,1953,"The Forward Contracts (Regulation) Amendment Bill, 1953",Ordinary Bill,COMMERCE AND INDUSTRY,46 of 1953,9/3/1953,12/2/1953,15/12/1953,23/12/1953,Assented,NA,NA,NA
XX,1953,"The Factories (Amendment) Bill, 1953",Ordinary Bill,LABOUR,25 of 1954,9/3/1953,3/9/1954,28/4/1954,7/5/1954,Assented,NA,NA,NA
XVIII,1953,"The Delhi Road Transport Authority (Amendment) Bill, 1953",Ordinary Bill,NA,24 of 1953,6/5/1953,13/5/1953,15/5/1953,22/5/1953,Assented,NA,NA,NA
XIX,1953,"The Indian Railways (Amendment) Bill, 1953",Ordinary Bill,RAILWAYS,59 of 1956,25/8/1953,9/1/1953,25/8/1956,16/9/1956,Assented,NA,NA,NA
XIII,1953,"The Calcutta High Court (Extension of Immidiation) Bill, 1953",Ordinary Bill,NA,41 of 1954,22/4/1953,27/4/1953,9/12/1953,18/12/1953,Assented,NA,NA,NA
XII,1953,"The Ancient and Historical Monuments and Archaeological Sites and Remains (Declaration of National Importance) Amendment Bill, 1953",Ordinary Bill,NA,3 of 1954,15/4/1953,20/4/1953,12/3/1953,2/1/1954,Assented,NA,NA,NA
VIII,1953,"The Hindu Minority and Guardianship Bill, 1953",Ordinary Bill,NA,32 of 1956,9/4/1953,7/4/1955,17/7/1956,25/8/1956,Assented,NA,NA,NA
VII,1953,"The Hyderabad Coinage and Paper Currency (Miscellaneous Provisions) Bill, 1953",Ordinary Bill,NA,10 of 1953,27/3/1953,28/3/1953,31/3/1953,31/3/1953,Assented,NA,NA,NA
VI,1953,"The Scheduled Areas (Assimilation of Laws) Bill, 1953",Ordinary Bill,HOME AFFAIRS,16 of 1953,28/3/1953,9/4/1953,25/4/1953,5/6/1953,Assented,NA,NA,NA
IX,1953,"The Repealing and Amending Bill, 1953",Ordinary Bill,NA,42 of 1953,9/4/1953,20/4/1953,11/12/1953,23/12/1953,Assented,NA,NA,NA
II,1953,"The Travancore Cochin High Court (Amendment) Bill, 1953",Ordinary Bill,HOME AFFAIRS,38 of 1953,4/3/1953,9/4/1953,8/12/1953,15/12/1953,Assented,NA,NA,NA
I,1953,"The Live-Stock Importation (Amendment) Bill, 1953",Ordinary Bill,AGRICULTURE,40 of 1953,13/2/1953,18/2/1953,9/12/1953,16/12/1953,Assented,NA,NA,NA
VIII,1952,The Abducted persons (Recovery and Restoration) Amendment Bill 1952,Ordinary Bill,EXTERNAL AFFAIRS,77 of 1952,11/12/1952,13/12/1952,20/12/1952,26/12/1952,NA,NA,NA,NA
VII,1952,"The Hindu Marriage and Divorce Bill, 1952",Ordinary Bill,NA,25 of 1955,12/11/1952,15/12/1954,5/5/1955,18/5/1955,Assented,NA,NA,NA
IV,1952,"The Cantonments (Amendment) Bill, 1952",Ordinary Bill,DEFENCE,2 of 1954,30/7/1952,18/2/1953,12/10/1953,2/1/1954,Assented,NA,NA,NA
III,1952,"The Special Marriage Bill, 1952",Ordinary Bill,NA,43 of 1954,28/7/1952,5/8/1954,17/9/1954,9/10/1954,Assented,NA,NA,NA
II,1952,"The Essential Supplies (Temporary Powers) Amendment Bill, 1952",Ordinary Bill,COMMERCE AND INDUSTRY,65 of 1952,23/7/1952,30/7/1952,11/8/1952,27/8/1952,Assented,NA,NA,NA
I,1952,"The National Cadet Corps (Amendment) Bill, 1952",Ordinary Bill,DEFENCE,52 of 1952,23/7/1952,29/7/1952,8/8/1952,8/11/1952,Assented,NA,NA,NA
